書きかえる漢字	書きかえた漢字	書きかえる漢語	書きかえた漢語	採用した文書
慾	欲	愛慾	愛欲	
闇	暗	闇	暗	
佚	逸	安佚	安逸	
翳	影	暗翳	暗影	
誦	唱	暗誦	暗唱	
按	案	按分	案分	
闇	暗	闇夜	暗夜	
嚮	向	意嚮	意向	
藉	謝	慰藉料	慰謝料	法
裳	装	衣裳	衣装	
蹟	跡	遺蹟	遺跡	
挺	丁	一挺	一丁	
翳	影	陰翳	陰影	
叡	英	叡智	英知	
智	知	叡智	英知	
穎	英	穎才	英才	
焰	炎	焰	炎	
掩	援	掩護	援護	
苑	園	苑地	園地	法
臆	憶	臆説	憶説	
臆	憶	臆測	憶測	
誼	義	恩誼	恩義	
誡	戒	誡	戒	
廻	回	廻	回	
廓	郭	外廓	外郭	法
闊	活	快闊	快活	
蝕	食	皆既蝕	皆既食	
誡	戒	誡告	戒告	
鑿	削	開鑿	開削	
廻	回	廻送	回送	
蛔	回	蛔虫	回虫	医
廻	回	廻転	回転	
恢	回	恢復	回復	
潰	壊	潰滅	壊滅	
潰	壊	潰乱	壊乱	
廻	回	廻廊	回廊	
焰	炎	火焰	火炎	
劃	画	劃	画	
廓	郭	廓	郭	
劃	画	劃然	画然	
廓	郭	廓大	郭大	
挌	格	挌闘	格闘	
劃	画	劃期的	画期的	
潑	発	活潑	活発	
旱	干	旱害	干害	
歇	欠	間歇	間欠	
絃	弦	管絃楽	管弦楽	
腎	心	肝腎	肝心	
旱	干	旱天	干天	
溜	留	乾溜	乾留	化
畸	奇	畸	奇	
稀	希	稀	希	
焰	炎	気焰	気炎	
饑	飢	饑餓	飢餓	
劃	画	企劃	企画	
畸	奇	畸形	奇形	
稀	希	稀元素	希元素	
稀	希	稀釈	希釈	化
稀	希	稀少	希少	
徽	記	徽章	記章	
蹟	跡	奇蹟	奇跡	
稀	希	稀代	希代	
綺	奇	綺談	奇談	
智	知	機智	機知	
吃	喫	吃水	喫水	法船
稀	希	稀薄	希薄	
糺	糾	糺	糾	
糺	糾	糺弾	糾弾	
糺	糾	糺明	糾明	
蹟	跡	旧蹟	旧跡	
馭	御	馭	御	
兇	凶	兇	凶	
兇	凶	兇悪	凶悪	
饗	供	饗応	供応	法
誨	戒	教誨	教戒	
兇	凶	兇漢	凶漢	
兇	凶	兇器	凶器	
鞏	強	鞏固	強固	
兇	凶	兇行	凶行	
兇	凶	兇刃	凶刃	
兇	凶	兇変	凶変	
兇	凶	兇暴	凶暴	
馭	御	馭者	御者	
撈	労	漁撈	漁労	
稀	希	稀硫酸	希硫酸	
倆	量	技倆	技量	
誦	唱	吟誦	吟唱	
劃	画	区劃	区画	
鑿	削	掘鑿	掘削	鉱
誡	戒	訓誡	訓戒	
燻	薫	燻製	薫製	
繫	係	繫船	係船	法船
繫	係	繫争	係争	
繫	係	繫属	係属	法
繫	係	繫留	係留	法
剋	克	下剋上	下克上	
潰	壊	決潰	決壊	
蹶	決	蹶起	決起	
蝕	食	月蝕	月食	
訣	決	訣別	決別	
絃	弦	絃	弦	
絃	弦	絃歌	弦歌	
兇	凶	元兇	元凶	
嶮	険	嶮岨	険阻	
岨	阻	嶮岨	険阻	
磨	摩	研磨	研摩	鉱
儼	厳	儼然	厳然	
倖	幸	倖	幸	
宏	広	宏	広	
礦	鉱	礦	鉱	
驩	歓	交驩	交歓	
礦	鉱	礦業	鉱業	
鯁	硬	鯁骨	硬骨	
叉	差	交叉	交差	法
扣	控	扣除	控除	法
甦	更	甦生	更生	
礦	鉱	礦石	鉱石	鉱
宏	広	宏壮	広壮	
宏	広	宏大	広大	
奠	典	香奠	香典	
昂	高	昂騰	高騰	
汎	範	広汎	広範	
昂	興	昂奮	興奮	
亢	興	亢奮	興奮	
弘	広	弘報	広報	法
曠	広	曠野	広野	
昂	高	昂揚	高揚	
慾	欲	強慾	強欲	
媾	講	媾和	講和	
涸	枯	涸渇	枯渇	
稀	希	古稀	古希	
蹟	跡	古蹟	古跡	
骼	格	骨骼	骨格	動医
傭	用	雇傭	雇用	法
淆	交	混淆	混交	
柢	底	根柢	根底	
昏	混	昏迷	混迷	
坐	座	坐	座	
醋	酢	醋酸	酢酸	化
坐	座	坐視	座視	
坐	座	坐礁	座礁	船
坐	座	坐洲	座州	
洲	州	坐洲	座州	
沓	踏	雑沓	雑踏	
讃	賛	讃	賛	
絃	弦	三絃	三弦	
讃	賛	讃仰	賛仰	
讃	賛	讃辞	賛辞	
撒	散	撒水	散水	
讃	賛	讃嘆	賛嘆	
讃	賛	讃美	賛美	
撒	散	撒布	散布	
慾	欲	色慾	色欲	
戟	激	刺戟	刺激	
蹟	跡	史蹟	史跡	
屍	死	屍体	死体	医
顚	転	七顚八倒	七転八倒	
歿	没	死歿	死没	
倖	幸	射倖心	射幸心	
輛	両	車輛	車両	
洲	州	洲	州	
輯	集	輯	集	
蒐	集	蒐荷	集荷	
蒐	収	蒐集	収集	
熄	息	終熄	終息	
聚	集	聚落	集落	
蹟	跡	手蹟	手跡	
駿	俊	駿才	俊才	
陞	昇	陞	昇	
銷	消	銷	消	
銷	消	銷夏	消夏	
銷	消	銷却	消却	法
碍	害	障碍	障害	法
誼	義	情誼	情義	
讃	賛	称讃	称賛	
讃	賛	賞讃	賞賛	
陞	昇	陞叙	昇叙	
躁	燥	焦躁	焦燥	
銷	消	銷沈	消沈	
牆	障	牆壁	障壁	法
溜	留	蒸溜	蒸留	化
翰	簡	書翰	書簡	
蝕	食	蝕甚	食尽	
甚	尽	蝕甚	食尽	
慾	欲	食慾	食欲	医
抒	叙	抒情	叙情	
煉	練	試煉	試練	
鍼	針	鍼術	針術	
蝕	食	侵蝕	侵食	法
蝕	食	浸蝕	浸食	化
蹟	跡	真蹟	真跡	
暢	長	伸暢	伸長	
滲	浸	滲透	浸透	
掠	略	侵掠	侵略	
訊	尋	訊問	尋問	
頹	退	衰頹	衰退	
馭	御	制馭	制御	
禦	御	制禦	制御	
棲	生	棲息	生息	
栖	生	栖息	生息	
慾	欲	性慾	性欲	医
蹟	跡	蹟	跡	
讃	賛	絶讃	絶賛	
尖	先	尖鋭	先鋭	
潰	壊	全潰	全壊	
銓	選	銓衡	選考	
煽	扇	煽情	扇情	
滌	浄	洗滌	洗浄	法医
兢	恐	戦々兢々	戦々恐々	
艙	倉	船艙	船倉	船
尖	先	尖端	先端	
擅	専	擅断	専断	
煽	扇	煽動	扇動	
歿	没	戦歿	戦没	
沮	阻	沮	阻	
惣	総	惣	総	
嵌	眼	象嵌	象眼	
蒼	倉	蒼惶	倉皇	
惶	皇	蒼惶	倉皇	
綜	総	綜合	総合	
剋	克	相剋	相克	
惣	総	惣菜	総菜	
釘	丁	装釘	装丁	
幀	丁	装幀	装丁	
剿	掃	剿滅	掃滅	
簇	族	簇生	族生	
沮	阻	沮止	阻止	
疏	疎	疏水	疎水	
沮	阻	沮喪	阻喪	
疏	疎	疏通	疎通	
疏	疎	疏明	疎明	法
褪	退	褪色	退色	
頹	退	頹勢	退勢	
頹	退	頹廃	退廃	
颱	台	颱風	台風	
慾	欲	大慾	大欲	
掠	略	奪掠	奪略	
歎	嘆	歎	嘆	
歎	嘆	歎願	嘆願	
礦	鉱	炭礦	炭鉱	
坐	座	端坐	端座	
篇	編	短篇	短編	
煖	暖	煖房	暖房	建
煖	暖	煖炉	暖炉	建
智	知	智	知	
智	知	智慧	知恵	
慧	恵	智慧	知恵	
智	知	智能	知能	
智	知	智謀	知謀	
註	注	註	注	
註	注	註解	注解	
註	注	註釈	注釈	
註	注	註文	注文	
篇	編	長篇	長編	
澱	殿	沈澱	沈殿	化
彽	低	彽徊	低回	
徊	回	彽徊	低回	
牴	抵	牴触	抵触	法
觝	抵	觝触	抵触	法
鄭	丁	鄭重	丁重	
叮	丁	叮嚀	丁寧	
嚀	寧	叮嚀	丁寧	
碇	停	碇泊	停泊	法
帖	帳	手帖	手帳	
顚	転	顚倒	転倒	
顚	転	顚覆	転覆	法
蹈	踏	蹈	踏	
潰	壊	倒潰	倒壊	
蹈	踏	蹈襲	踏襲	
輯	集	特輯	特集	
杜	途	杜絶	途絶	
蝕	食	日蝕	日食	
悖	背	悖徳	背徳	
毀	棄	破毀	破棄	法
曝	暴	曝露	暴露	法
