序号	规范字	级	笔画	註解
0001	一	1	1	
0002	乙	1	1	
0003	二	1	2	
0004	十	1	2	
0005	丁	1	2	
0006	厂	1	2	
0007	七	1	2	
0008	卜	1	2	
0009	八	1	2	
0010	人	1	2	
0011	入	1	2	
0012	儿	1	2	
0013	匕	1	2	
0014	几	1	2	
0015	九	1	2	
0016	刁	1	2	
0017	了	1	2	
0018	刀	1	2	
0019	力	1	2	
0020	乃	1	2	
0021	又	1	2	
0022	三	1	3	
0023	干	1	3	
0024	于	1	3	
0025	亏	1	3	
0026	工	1	3	
0027	土	1	3	
0028	士	1	3	
0029	才	1	3	
0030	下	1	3	
0031	寸	1	3	
0032	大	1	3	
0033	丈	1	3	
0034	与	1	3	
0035	万	1	3	
0036	上	1	3	
0037	小	1	3	
0038	口	1	3	
0039	山	1	3	
0040	巾	1	3	
0041	千	1	3	
0042	乞	1	3	
0043	川	1	3	
0044	亿	1	3	
0045	个	1	3	
0046	夕	1	3	
0047	久	1	3	
0048	么	1	3	
0049	勺	1	3	
0050	凡	1	3	
0051	丸	1	3	
0052	及	1	3	
0053	广	1	3	
0054	亡	1	3	
0055	门	1	3	
0056	丫	1	3	
0057	义	1	3	
0058	之	1	3	
0059	尸	1	3	
0060	己	1	3	
0061	已	1	3	
0062	巳	1	3	
0063	弓	1	3	
0064	子	1	3	
0065	卫	1	3	
0066	也	1	3	
0067	女	1	3	
0068	刃	1	3	
0069	飞	1	3	
0070	习	1	3	
0071	叉	1	3	
0072	马	1	3	
0073	乡	1	3	
0074	丰	1	4	
0075	王	1	4	
0076	开	1	4	
0077	井	1	4	
0078	天	1	4	
0079	夫	1	4	
0080	元	1	4	
0081	无	1	4	
0082	云	1	4	
0083	专	1	4	
0084	丐	1	4	
0085	扎	1	4	
0086	艺	1	4	
0087	木	1	4	
0088	五	1	4	
0089	支	1	4	
0090	厅	1	4	
0091	不	1	4	
0092	犬	1	4	
0093	太	1	4	
0094	区	1	4	
0095	历	1	4	
0096	歹	1	4	
0097	友	1	4	
0098	尤	1	4	
0099	匹	1	4	
0100	车	1	4	
0101	巨	1	4	
0102	牙	1	4	
0103	屯	1	4	
0104	戈	1	4	
0105	比	1	4	
0106	互	1	4	
0107	切	1	4	
0108	瓦	1	4	
0109	止	1	4	
0110	少	1	4	
0111	曰	1	4	
0112	日	1	4	
0113	中	1	4	
0114	贝	1	4	
0115	冈	1	4	
0116	内	1	4	
0117	水	1	4	
0118	见	1	4	
0119	午	1	4	
0120	牛	1	4	
0121	手	1	4	
0122	气	1	4	
0123	毛	1	4	
0124	壬	1	4	
0125	升	1	4	
0126	夭	1	4	
0127	长	1	4	
0128	仁	1	4	
0129	什	1	4	
0130	片	1	4	
0131	仆	1	4	
0132	化	1	4	
0133	仇	1	4	
0134	币	1	4	
0135	仍	1	4	
0136	仅	1	4	
0137	斤	1	4	
0138	爪	1	4	
0139	反	1	4	
0140	介	1	4	
0141	父	1	4	
0142	从	1	4	
0143	仑	1	4	
0144	今	1	4	
0145	凶	1	4	
0146	分	1	4	
0147	乏	1	4	
0148	公	1	4	
0149	仓	1	4	
0150	月	1	4	
0151	氏	1	4	
0152	勿	1	4	
0153	欠	1	4	
0154	风	1	4	
0155	丹	1	4	
0156	匀	1	4	
0157	乌	1	4	
0158	勾	1	4	
0159	凤	1	4	
0160	六	1	4	
0161	文	1	4	
0162	亢	1	4	
0163	方	1	4	
0164	火	1	4	
0165	为	1	4	
0166	斗	1	4	
0167	忆	1	4	
0168	计	1	4	
0169	订	1	4	
0170	户	1	4	
0171	认	1	4	
0172	冗	1	4	
0173	讥	1	4	
0174	心	1	4	
0175	尺	1	4	
0176	引	1	4	
0177	丑	1	4	
0178	巴	1	4	
0179	孔	1	4	
0180	队	1	4	
0181	办	1	4	
0182	以	1	4	
0183	允	1	4	
0184	予	1	4	
0185	邓	1	4	
0186	劝	1	4	
0187	双	1	4	
0188	书	1	4	
0189	幻	1	4	
0190	玉	1	5	
0191	刊	1	5	
0192	未	1	5	
0193	末	1	5	
0194	示	1	5	
0195	击	1	5	
0196	打	1	5	
0197	巧	1	5	
0198	正	1	5	
