序号	规范字	繁体字	异体字	註解
0006	厂	廠	廠	
0008	卜	卜	卜	
0008	卜	蔔	蔔	
0012	儿	兒	兒	
0014	几	几	几	
0014	几	幾	幾	
0017	了	了	了	
0017	了	瞭	瞭	瞭：读liào时不简化作“了”，如“瞭望”“瞭哨”。
0020	乃	乃	廼	
0020	乃	乃	迺	迺：可用于姓氏人名、地名。
0023	干	干	干	
0023	干	乾	乾	乾：读qián时不简化作“干”，如“乾坤”“乾隆”。
0023	干	乾	乹	
0023	干	乾	亁	
0023	干	幹	幹	
0023	干	幹	榦	
0025	亏	虧	虧	
0029	才	才	才	
0029	才	纔	纔	
0034	与	與	與	
0035	万	万	万	
0035	万	萬	萬	
0041	千	千	千	
0041	千	韆	韆	
0044	亿	億	億	
0045	个	個	個	
0045	个	個	箇	
0048	么	麽	麽	麽：读mó时不简化作“么”，如“幺麽小丑”。
0050	凡	凡	凢	
0053	广	廣	廣	
0054	亡	亡	亾	
0055	门	門	門	
0056	丫	丫	枒	
0056	丫	丫	椏	椏：可用于姓氏人名、地名和科学技术术语，但须类推简化作“桠”（参见本表序号6958），如“五桠果科”。
0057	义	義	義	
0059	尸	尸	屍	
0065	卫	衛	衛	
0069	飞	飛	飛	
0070	习	習	習	
0072	马	馬	馬	
0073	乡	鄉	鄉	
0074	丰	丰	丰	
0074	丰	豐	豐	
0076	开	開	開	
0081	无	無	無	
0082	云	云	云	
0082	云	雲	雲	
0083	专	專	專	
0083	专	專	耑	耑：可用于姓氏人名，读duān。读zhuān时用“专”。
0084	丐	丐	匃	
0084	丐	丐	匄	
0085	扎	扎	紥	
0085	扎	扎	紮	
0086	艺	藝	藝	
0090	厅	廳	廳	
0094	区	區	區	
0095	历	歷	歷	
0095	历	歷	歴	
0095	历	歷	𠪱	
0095	历	曆	曆	
0095	历	曆	厤	
0099	匹	匹	疋	
0100	车	車	車	
0101	巨	巨	鉅	鉅：可用于姓氏人名、地名，但须类推简化作“钜”（参见本表序号6845）。
0114	贝	貝	貝	
0115	冈	岡	岡	
0118	见	見	見	
0122	气	氣	氣	
0125	升	升	昇	昇：可用于姓氏人名，如“毕昇”。
0125	升	升	陞	陞：可用于姓氏人名、地名。
0126	夭	夭	殀	
0127	长	長	長	
0131	仆	仆	仆	
0131	仆	僕	僕	
0133	仇	仇	讐	
0133	仇	仇	讎	讎：用于“校雠”“雠定”“仇雠”等，但须类推简化作“雠”（参见本表序号6351）。其他意义用“仇”。
0134	币	幣	幣	
0136	仅	僅	僅	
0137	斤	斤	觔	
0142	从	從	從	
0143	仑	侖	侖	
0143	仑	侖	崘	
0143	仑	侖	崙	
0145	凶	凶	兇	
0149	仓	倉	倉	
0154	风	風	風	
0157	乌	烏	烏	
0159	凤	鳳	鳳	
0165	为	爲	爲	
