mj,codepoint,character,reading
MJ000414,U+35DB,㗛,えむ
MJ002257,U+3DB1,㶱,ほ
MJ004113,U+4512,䔒,つぼな
MJ005053,U+48BD,䢽,むら
MJ005931,U+4C35,䰵,いななえぶな
MJ005958,U+4C52,䱒,すずき
MJ006581,U+4F15,伕,せ
MJ006911,U+5051,偑,あだ
MJ008323,U+550E,唎,きく
MJ008384,U+554C,啌,うそ
MJ008410,U+5562,啢,オンス
MJ009190,U+5840,塀,へい
MJ009268,U+588B,墋,ほこり
MJ010469,U+5CC5,峅,くら
MJ011684,U+60E2,惢,こころごころ
MJ012501,U+63AB,掫,さらえ
MJ012512,U+63BD,掽,はえる
MJ012677,U+6452,摒,はらう
MJ012895,U+6506,攆,おびきだす
MJ013995,U+68A0,梠,ころ
MJ014131,U+6917,椗,さかき
MJ014147,U+692A,椪,ポン
MJ014518,U+6A5E,橞,くすのき
MJ014560,U+6A85,檅,みやつこぎ
MJ015902,U+6F57,潗,みなかみ
MJ015947,U+6F76,潶,はぐろめ
MJ016110,U+6FF9,濹,ぼく
MJ016469,U+7144,煄,やきは
MJ016525,U+7173,煳,やく
MJ016673,U+71F5,燵,たつ
MJ017324,U+7443,瑃,たま
MJ017789,U+75C7,症,しょう
MJ018447,U+7819,砙,ごう
MJ018741,U+7935,礵,ひそ
MJ019819,U+7C89,粉,デシメートル
MJ020476,U+7E90,纐,こう
MJ020687,U+7FD5,翕,かっぱ
MJ021166,U+817A,腺,せん
MJ021213,U+81A3,膣,ちつ
MJ021234,U+81B5,膵,すい
MJ022235,U+8419,萙,くたびれる
MJ022581,U+84DC,蓜,はい
MJ023703,U+87D0,蟐,もむ
MJ024592,U+8ADA,諚,おおせ
MJ024592,U+8ADA,諚,じょう
MJ025086,U+8CEC,賬,かんじょう
MJ025316,U+8DF4,跴,ふむ
MJ025855,U+8FF2,迲,いぬ
MJ026602,U+91D7,釗,こんごう
MJ026805,U+9286,銆,なかご
MJ026847,U+92AB,銫,かんな
MJ027010,U+933B,錻,ぶ
MJ027023,U+934E,鍎,たて
MJ028519,U+9942,饂,うん
MJ029102,U+9B8D,鮍,かわはぎ
MJ029156,U+9BB4,鮴,ごり
MJ029281,U+9C18,鰘,むろ
MJ029283,U+9C19,鰙,はえ
MJ029346,U+9C47,鱇,あんこう
MJ029346,U+9C47,鱇,こう
MJ029353,U+9C4D,鱍,はつ
MJ029374,U+9C5C,鱜,きよう
MJ029391,U+9C6B,鱫,あい
MJ033127,U+213BA,𡎺,うめる
MJ033206,U+2146E,𡑮,そく
MJ035202,U+2217B,𢅻,とる
MJ041729,U+24E60,𤹠,しゃく
MJ054245,U+2986D,𩡭,ぼく
MJ055201,U+29E15,𩸕,はむ
MJ055275,U+29EAE,𩺮,いるか
MJ057173,U+2A861,𪡡,にげがむ
MJ057465,U+2AABF,𪪿,ゆづか
MJ057691,U+2DA3D,𭨽,さやけし
MJ058072,U+2DEA7,𭺧,したるし
MJ058086,U+2AF4B,𪽋,あらきばり
MJ058286,U+2C592,𬖒,けはい
MJ059145,U+2B66B,𫙫,インドたい
MJ059230,U+2CDEB,𬷫,こうないしとど
MJ060309,U+2B51F,𫔟,しろ
MJ068046,U+9425,鐥,みずかね
